*****************************
Name:        Sveinson
Class:       CS30S
Assignment:  Ax Qy
*****************************

0: 96
1: 29
2: 16
3: 56
4: 50
5: 100
6: 32
7: 41
8: 38
9: 30
10: 11
11: 51
12: 30
13: 82
14: 122
15: 42
16: 22
17: 47
18: 70
19: 29
20: 65
21: 45
22: 57
23: 66
24: 52
25: 23
26: 97
27: 108
28: 116
29: 92
30: 90
31: 3
32: 28
33: 117
34: 93
35: 65
36: 119
37: 67
38: 22
39: 48
40: 32
41: 82
42: 111
43: 45
44: 16
45: 95
46: 34
47: 17
48: 104
49: 127
50: 43
51: 70
52: 53
53: 21
54: 45
55: 115
56: 41
57: 35
58: 21
59: 108
